match_id,date,date_unix,status,game_week,season,fetch_date,league_id,league_name,homeID,home_name,awayID,away_name,team_a_xg_prematch,team_b_xg_prematch,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_1_prob,odds_ft_x_prob,odds_ft_2_prob,odds_ft_over05,odds_ft_under05,odds_ft_over15,odds_ft_under15,odds_ft_over25,odds_ft_under25,odds_ft_over35,odds_ft_under35,odds_ft_over45,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,btts_potential,o05_potential,o15_potential,o25_potential,o35_potential,o45_potential,CTMCL,IP_OVER,avg_goals_market,pre_total_xg,odds_corners_over_85,odds_corners_over_95,team_a_attacks,team_b_attacks,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_penalties_won,team_b_penalties_won
8223582,2026-01-24 12:30:00,1769257800,incomplete,23,2025/2026,2026-01-24,15050,England Premier League,153,West Ham United,156,Sunderland,1.24,1.07,2.5,3.24,2.8,0.3753102763528049,0.289591262617905,0.3350984610292901,1.01,8.5,1.33,3.1,2.05,1.75,3.74,1.22,7.7,1.03,1.75,2.0,1.33,0,1.53,46,91,78,50,23,14,2.4878048780487805,0.48780487804878053,2.2199999999999998,2.31,1.43,1.93,0,0,0,0,0,0
8223519,2026-01-24 15:00:00,1769266800,incomplete,23,2025/2026,2026-01-24,15050,England Premier League,145,Burnley,92,Tottenham Hotspur,1.07,1.1,3.6,3.4,2.04,0.26153846153846155,0.27692307692307694,0.4615384615384615,1.06,9.2,1.3,3.25,1.95,1.84,3.4,1.25,7.5,1.04,1.8,1.95,1.3,0,1.29,41,91,78,50,32,14,2.5128205128205128,0.5128205128205129,2.2199999999999998,2.17,1.4,1.95,0,0,0,0,0,0
8223705,2026-01-24 15:00:00,1769266800,incomplete,23,2025/2026,2026-01-24,15050,England Premier League,162,Fulham,209,Brighton & Hove Albion,1.46,1.38,2.42,3.45,2.66,0.3829622087200374,0.26862856379782335,0.34840922748213926,1.0,9.0,1.22,3.75,1.8,2.06,2.88,1.36,5.5,1.08,1.62,2.2,1.33,0,1.5,60,96,78,50,27,9,2.5555555555555554,0.5555555555555556,2.2199999999999998,2.84,1.4,1.87,0,0,0,0,0,0
8223781,2026-01-24 15:00:00,1769266800,incomplete,23,2025/2026,2026-01-24,15050,England Premier League,93,Manchester City,223,Wolverhampton Wanderers,1.96,1.02,1.21,6.3,13.0,0.7781250890710955,0.14944942186921037,0.07242548905969427,1.01,23.0,1.11,6.2,1.36,2.9,2.08,1.75,3.25,1.31,1.95,1.96,1.11,0,4.2,45,100,87,50,14,9,2.735294117647059,0.7352941176470588,2.13,2.98,1.39,1.7,0,0,0,0,0,0
8223573,2026-01-24 17:30:00,1769275800,incomplete,23,2025/2026,2026-01-24,15050,England Premier League,148,AFC Bournemouth,151,Liverpool,1.53,1.46,3.78,3.75,1.9,0.2501579945228566,0.2521592584790394,0.4976827469981041,1.01,15.0,1.18,4.6,1.61,2.44,2.49,1.55,4.25,1.17,1.5,2.4,1.91,0,1.25,60,87,73,59,36,23,2.62111801242236,0.6211180124223602,2.36,2.99,1.36,1.79,0,0,0,0,0,0
8223518,2026-01-25 14:00:00,1769349600,incomplete,23,2025/2026,2026-01-25,15050,England Premier League,218,Brentford,211,Nottingham Forest,1.37,1.24,1.88,3.4,4.15,0.4985161107970605,0.27565008479366876,0.22583380440927076,1.05,9.0,1.3,3.34,2.0,1.94,3.34,1.3,5.95,1.07,1.77,1.95,1.3,0,1.8,50,96,78,55,32,9,2.5,0.5,2.27,2.6100000000000003,1.34,1.92,0,0,0,0,0,0
8223520,2026-01-25 14:00:00,1769349600,incomplete,23,2025/2026,2026-01-25,15050,England Premier League,143,Crystal Palace,152,Chelsea,1.46,1.49,3.25,3.55,2.03,0.2843754316042854,0.2603437049898388,0.45528086340587576,1.02,14.0,1.2,3.9,1.73,2.15,2.8,1.4,5.0,1.15,1.62,2.2,1.23,0,1.32,55,82,73,50,23,9,2.578034682080925,0.5780346820809249,2.27,2.95,1.44,1.78,0,0,0,0,0,0
8223580,2026-01-25 14:00:00,1769349600,incomplete,23,2025/2026,2026-01-25,15050,England Premier League,157,Newcastle United,158,Aston Villa,1.71,1.3,1.95,3.7,3.45,0.47795563044088746,0.2518955349620893,0.2701488345970233,1.03,15.5,1.2,4.6,1.67,2.2,2.5,1.47,5.0,1.2,1.57,2.25,1.29,0,1.8,69,91,82,64,32,23,2.5988023952095807,0.5988023952095809,2.32,3.01,1.28,1.75,0,0,0,0,0,0
8223578,2026-01-25 16:30:00,1769358600,incomplete,23,2025/2026,2026-01-25,15050,England Premier League,59,Arsenal,149,Manchester United,1.85,1.69,1.55,4.0,6.0,0.6075949367088608,0.23544303797468355,0.1569620253164557,1.04,13.0,1.22,4.15,1.67,2.1,2.9,1.4,5.6,1.17,1.73,2.0,1.25,0,2.3,68,96,91,69,36,18,2.5988023952095807,0.5988023952095809,2.28,3.54,1.4,1.72,0,0,0,0,0,0
8223772,2026-01-26 20:00:00,1769457600,incomplete,23,2025/2026,2026-01-26,15050,England Premier League,144,Everton,222,Leeds United,1.46,1.24,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50,91,82,50,32,23,2.5,,2.18,2.7,0.0,0.0,0,0,0,0,0,0
